id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier
har-adar,מועצה מקומית הר-אדר,Har Adar,local,judea-samaria,jewish,found,no,yes,,מועצה מקומית
hatzor-haglilit,מועצה מקומית חצור-הגלילית,Hatzor Haglilit,local,north,jewish,found,yes,no,9764,מועצה מקומית
hura,חורה,Hura,local,south,bedouin,found,yes,no,23943,עיירה
hurfeish,חורפיש,Hurfeish,local,north,druze,found,yes,no,6581,מועצה מקומית
ibillin,אעבלין,I'billin,local,north,arab,found,yes,no,13692,מועצה מקומית
iksal,אכסאל,Iksal,local,north,arab,found,yes,no,15146,מועצה מקומית
ilut,עילוט,Ilut,local,north,arab,found,yes,no,8654,מועצה מקומית
jaljulye,ג'לג'וליה,Jaljulye,local,center,arab,found,yes,no,10480,מועצה מקומית
jisr-az-zarqa,ג'סר-א-זרקא,Jisr az-Zarqa,local,haifa,arab,found,yes,no,16000,מועצה מקומית
judeidi-makr,ג'דיידה-מכר,Judeidi-Makr,local,north,arab,found,yes,no,21507,עיירה
julis,ג'וליס,Julis,local,north,druze,found,yes,no,6657,מועצה מקומית
kaabiyye,כעביה-טבאש-חג'אג'רה,Ka'abiyye-Tabbash,local,north,arab,found,yes,no,5732,מועצה מקומית
kabul,כאבול,Kabul,local,north,arab,found,yes,no,14473,מועצה מקומית
kadima-zoran,מועצה מקומית קדימה-צורן,Kadima Zoran,local,center,jewish,found,yes,no,22920,עיירה
kafr-bara,כפר-ברא,Kafr Bara,local,center,arab,found,yes,no,3856,מועצה מקומית
kafr-manda,כפר-מנדא,Kafr Manda,local,north,arab,found,yes,no,21073,עיירה
kafr-qara,כפר-קרע,Kafr Qara,local,haifa,arab,found,yes,no,16000,מועצה מקומית
kafr-yasif,כפר-יאסיף,Kafr Yasif,local,north,mixed,found,yes,no,10323,מועצה מקומית
karnei-shomron,מועצה מקומית קרני-שומרון,Karnei Shomron,local,judea-samaria,jewish,found,yes,no,9000,מועצה מקומית
katzrin,מועצה מקומית קצרין,Katzrin,local,north,jewish,found,yes,no,8000,מועצה מקומית
kedumim,מועצה מקומית קדומים,Kedumim,local,judea-samaria,jewish,found,yes,no,5000,מועצה מקומית
kfar-kama,כפר-קמה,Kfar Kama,local,north,circassian,found,yes,no,3479,מועצה מקומית
kfar-kana,כפר-כנא,Kfar Kana,local,north,arab,found,yes,no,,מועצה מקומית
kfar-qasem,כפר-קאסם,Kfar Qasem,local,center,arab,found,yes,no,24757,עיירה
kfar-shmaryahu,מועצה מקומית כפר-שמריהו,Kfar Shmaryahu,local,tel-aviv,jewish,found,yes,no,5000,מועצה מקומית
kfar-tavor,מועצה מקומית כפר-תבור,Kfar Tavor,local,north,jewish,found,yes,no,4425,מועצה מקומית
kfar-vradim,מועצה מקומית כפר-ורדים,Kfar Vradim,local,north,jewish,found,no,yes,5531,מועצה מקומית
kfar-yona,מועצה מקומית כפר-יונה,Kfar Yona,local,center,jewish,found,yes,no,27898,עיירה
kiryat-arba,מועצה מקומית קריית-ארבע,Kiryat Arba,local,judea-samaria,jewish,found,yes,no,,מועצה מקומית
kiryat-ekron,מועצה מקומית קריית-עקרון,Kiryat Ekron,local,center,jewish,found,yes,no,11051,מועצה מקומית
